SEC_companyname,CIK
LANTERN PHARMA,1763950
LB PHARMACEUTICALS INC,1691082
LEUKOSITE INC,915320
"LIFEMINE THERAPEUTICS, INC.",1686955
"LIFESPROUT, INC.",1733815
LIGOCYTE PHARMACEUTICALS INC,1400794
LIQUIDIA TECHNOLOGIES INC,1330436
LOCUS PHARMACEUTICALS INC,1391772
LODO THERAPEUTICS CORP,1662114
"LUMOS PHARMA, INC.",1596584
"LYNDRA THERAPEUTICS, INC.",1679037
"LYSOSOMAL THERAPEUTICS, INC.",1607854
MACROGENICS INC,1125345
"MACROLIDE PHARMACEUTICALS, INC.",1634953
MAGNOLIA NEUROSCIENCES CORP,1749206
"MAIA PHARMACEUTICALS, INC.",1624757
MAVERICK THERAPEUTICS INC.,1695203
MAXCYTE INC,1287098
MEDIOR INC.,1830312
MEDMANAGE SYSTEMS INC,1083698
"MEKONOS, INC.",1838228
"MELINTA THERAPEUTICS, INC. /NEW/",1461993
MEMORY PHARMACEUTICALS CORP,1062216
"MERGANSER BIOTECH, INC.",1635172
MERLIN TECHNOLOGIES CORP,1423160
MERLIN TECHNOLOGIES INC,1032613
MERRIMACK PHARMACEUTICALS INC,1274792
MERSANA THERAPEUTICS INC,1442836
MICROBION CORP,1318639
MICROBION CORP.,1369299
"MICROCHIPS BIOTECH, INC.",1111127
MIIKANA THERAPEUTICS INC,1300235
"MINDIMMUNE THERAPEUTICS, INC.",1792522
MIRAGEN THERAPEUTICS INC,1417839
"MIRAGEN THERAPEUTICS, INC.",1590750
"MIRNA THERAPEUTICS, INC.",1527599
"MITOKININ, INC.",1717169
MITOKOR,1134433
"MITOKYNE, INC.",1589455
MLC DX INC,1468739
MNEMOSYNE PHARMACEUTICALS INC,1542171
"MODERNA THERAPEUTICS, INC.",1682852
"MODULUS THERAPEUTICS, INC.",1873311
MOKSHA8 INC,1386549
"MOLECULAR ASSEMBLIES, INC.",1693170
MOLECULAR BIOSYSTEMS INC,719598
MOLECULAR NANOSYSTEMS INC,1439022
MOLECULAR SYSTEMS CORP,1546171
MORPHOTEK INC,1143228
"MOSAIC BIOSCIENCES, INC.",1526054
MYOKARDIA INC,1552451
MYRIAD PROTEOMICS INC,1158090
"NAKED BIOME, INC.",1683849
NANOPHARMA CORP,1169405
NANOPHARMACEUTICALS LLC,1594078
"NANOTX, CORP.",1812069
"NANTBIOSCIENCE, INC.",1608318
"NANTCELL, INC.",1642116
NAPO PHARMACEUTICALS INC,1188290
NAUREX INC.,1467762
"NEOANTIGENICS, INC.",1589704
"NEON THERAPEUTICS, INC.",1694187
NEPHROGENEX INC,1338095
"NEURANA PHARMACEUTICALS, INC.",1699458
"NEUROGENETIC PHARMACEUTICALS, INC.",1496298
NEUROGENETICS INC,1304212
NEUROPHAGE PHARMACEUTICALS INC,1423174
"NEUROTHERAPEUTICS PHARMA, INC.",1385386
"NEUROVANCE, INC.",1544176
"NEUROVIA, INC.",1659474
"NEXIMMUNE, INC.",1538210
"NEXTCURE, INC.",1661059
NGM BIOPHARMACEUTICALS INC,1426332
"NIMBLE THERAPEUTICS, INC.",1772745
"NIMBUS DISCOVERY, LLC",1490403
"NITROME BIOSCIENCES, INC",1746366
"NKARTA, INC.",1787400
NODALITY INC,1372142
NOHLA THERAPEUTICS INC.,1662002
"Cellective BioTherapy, Inc.",1643495
"Morphic Holding, Inc.",1679363
"PharmAkea, Inc.",1560523
"Santa Maria Biotherapeutics, Inc.",1593628
"TETRA DISCOVERY PARTNERS, INC.",1681274
Viamet Pharmaceuticals Holdings LLC,1538928
NOVALAR PHARMACEUTICALS INC,1130807
NOVOCELL INC,1093930
NUADA PHARMACEUTICALS INC,1283540
NUCLEONICS INC,1164117
NUMERATE INC,1439005
NUPATHE INC,1375200
NURA INC,1270402
NURA LIFE SCIENCES CORP,1519495
"NURIX THERAPEUTICS, INC.",1549595
NUVIOS INC,1315443
NYXIS NEUROTHERAPIES INC,1385319
"OBSIDIAN THERAPEUTICS, INC.",1723046
"OCUGEN, INC.",1696601
ODYSSEY PHARMACEUTICALS INC,1170455
ODYSSEY THERA INC,1327783
