SEC_companyname,CIK
"GENEOS THERAPEUTICS, INC.",1769177
GENESOFT PHARMACEUTICALS INC,1206042
GENOCEA BIOSCIENCES INC,1457612
GENOMIC HEALTH INC,1131324
GENOMIC PROFILING SYSTEMS INC,1254871
GENOSPECTRA INC,1364290
GENPATH PHARMACEUTICALS INC,1171917
"GENTEN THERAPEUTICS, INC.",1685989
GENVEC INC,934473
"GIGAGEN, INC.",1708610
"GINKGO BIOWORKS HOLDINGS, INC.",1830214
"GINKGO BIOWORKS, INC.",1648827
GLIKNIK INC,1411569
GLOBEIMMUNE INC,1245104
GLYCOMIMETICS INC,1253689
"GLYCOMINE, INC.",1689792
"GO THERAPEUTICS, INC.",1714218
"GOLDFINCH BIO, INC.",1693198
"GOOD THERAPEUTICS, INC.",1758604
"GPB SCIENTIFIC, INC.",1614077
"GRAIL MERGER SUB, INC.",1818947
"GRAIL, INC.",1699031
GROOVE BIOPHARMA CORP,1443563
GRYPHON SCIENCES,1010675
"H.I.G. VENTURES - TRANZYME, LLC",1515804
"HARPOON THERAPEUTICS, INC.",1708493
HELIX BIOMEDIX INC,831749
HELIX BIOPHARMA CORP,1305591
"HELIX THERAPEUTICS, INC.",1458721
HEMAGENEX PHARMACEUTICALS INC,1416377
HIGH THROUGHPUT GENOMICS INC,1169987
HISTOGEN INC.,1645829
HISTOMETRIX INC,1300681
HISTORX INC,1412169
"HOMOLOGY MEDICINES, INC.",1661998
HOOKIPA PHARMA INC.,1760542
"HUMAN LONGEVITY, INC.",1781303
HYDRA BIOSCIENCES INC,1172888
HYPNION INC,1126024
ICAGEN INC,902622
"ICAGEN, INC.",1518520
ICONIC THERAPEUTICS INC,1226555
"IDEAYA BIOSCIENCES, INC.",1676725
IDENIX PHARMACEUTICALS INC,1093649
"IFM THERAPEUTICS, INC.",1678359
"IFM TRE, INC.",1747596
"IKENA ONCOLOGY, INC.",1835579
ILLUMINA INC,1110803
"IMAGINAB, INC.",1545875
"IMAGO BIOSCIENCES, INC.",1623715
IMARA INC.,1672619
"IMMUNITAS THERAPEUTICS, INC.",1879910
"IMMUNOMIC THERAPEUTICS, INC.",1543256
IMMUNONEWCO INC,1417408
"IMMUNOVANT, INC.",1764013
IMMUSOL INC,1017919
"INCEPTION IBD, INC.",1661522
"INDI MOLECULAR, INC.",1709279
INFINITY PHARMACEUTICALS INC,1177775
"INNOCRIN PHARMACEUTICALS HOLDINGS, LLC",1626547
INNOZEN INC,1337641
INSERT THERAPEUTICS INC,1124365
INTEKRIN THERAPEUTICS INC,1360245
"INTELLIA THERAPEUTICS, INC.",1652130
"INTELLIKINE, INC.",1466851
INTERMUNE INC,1087432
INTRADIGM CORP,1274506
"IOTA BIOSCIENCES, INC.",1740700
"IPIERIAN, INC.",1468247
"ITHERX PHARMA, INC.",1531965
"ITHERX PHARMACEUTICALS, INC.",1491814
"JAGUAR ANIMAL HEALTH, INC.",1585608
"JASPER THERAPEUTICS, INC.",1788028
JDP THERAPEUTICS INC,1453347
"JDP THERAPEUTICS, INC.",1488520
JENNEREX BIOTHERAPEUTICS INC,1403006
JNANA THERAPEUTICS INC.,1879148
"JOUNCE THERAPEUTICS, INC.",1640455
"KALA PHARMACEUTICALS, INC.",1479419
"KALLYOPE, INC.",1655846
KALYPSYS INC,1161885
KANISA PHARMACEUTICALS INC,1313033
KANNALIFE INC,1615999
"KANNALIFE SCIENCES, INC.",1538856
"KANYOS BIO, INC.",1644743
KEMIA INC,1171258
"KEZAR LIFE SCIENCES, INC.",1645666
"KLEO PHARMACEUTICALS, INC.",1700389
"KNAPP THOMAS J C/O SUCAMPO PHARMACEUTICALS, INC.",1311726
KNOME INC,1452309
KNOPP BIOSCIENCES LLC,1497598
KNOPP NEUROSCIENCES INC,1347819
"KNOW BIO, LLC",1705697
KOLLTAN PHARMACEUTICALS INC,1442835
KOSAN BIOSCIENCES INC,1110206
"KRIYA THERAPEUTICS, INC.",1811209
"KRYSTAL BIOTECH, INC.",1711279
KUMQUAT BIOSCIENCES INC,1781822
"KYMERA THERAPEUTICS, INC.",1815442
"LACERTA THERAPEUTICS, INC.",1748465
