SEC_companyname,CIK
RENEGADE THERAPEUTICS INC,1386424
"RENOVACOR, INC.",1799850
"RESET THERAPEUTICS, INC.",1593318
RESOLVYX PHARMACEUTICALS INC,1345548
REVANCE THERAPEUTICS INC,1388649
"REVANCE THERAPEUTICS, INC.",1479290
"REVITOPE ONCOLOGY, INC.",1667518
"RGENTA THERAPEUTICS, INC.",1801266
"RHYTHM METABOLIC, INC.",1649904
"RIBOMETRIX, INC.",1718794
"RIBON THERAPEUTICS, INC.",1660410
"RIB-X PHARMACEUTICALS, INC.",1164994
RIGEL PHARMACEUTICALS INC,1034842
RINAT NEUROSCIENCE CORP,1159469
RIVER VISION DEVELOPMENT CORP.,1564262
RODEO THERAPEUTICS CORP,1712341
"RODIN THERAPEUTICS, INC.",1716694
ROIVANT NEUROSCIENCES LTD.,1636050
ROIVANT SCIENCES LTD.,1635088
"R-TECH UENO, LTD.",1384705
"SAB BIOTHERAPEUTICS, INC.",1833214
SAGRES DISCOVERY INC,1122855
SANTARUS INC,1172480
"SAPIENCE THERAPEUTICS, INC.",1661731
"SATSUMA PHARMACEUTICALS, INC.",1692830
SCION PHARMACEUTICALS INC,1173436
SCPHARMACEUTICALS INC.,1604950
SCRIPTGEN PHARMACEUTICALS INC,944753
SCYNEXIS CHEMISTRY & AUTOMATION INC,1163659
SCYNEXIS INC,1178253
"SECOND GENOME, INC.",1527224
"SELDAR PHARMA, INC.",1552224
"SEMMA THERAPEUTICS, INC.",1637931
"SENTI BIOSCIENCES, INC.",1854270
"SENTIEN BIOTECHNOLOGIES, INC.",1650699
SERENEX INC,1144922
"SEXTON BIOTECHNOLOGIES, INC.",1792289
"SHATTUCK LABS, INC.",1680367
"SIGILON THERAPEUTICS, INC.",1821323
"SILVERBACK THERAPEUTICS, INC.",1671858
"SIMCHA THERAPEUTICS HOLDING COMPANY, LLC",1746685
SINGULEX INC,1323620
SIRTRIS PHARMACEUTICALS INC,1302565
"SIRTRIS PHARMACEUTICALS, INC.",1388775
"SITEONE THERAPEUTICS, INC.",1647628
SOLID BIOSCIENCES INC.,1707502
"SOLID GT, LLC",1657599
SORBENT THERAPEUTICS INC,1352145
SPALTUDAQ CORP,1354799
"SPERO THERAPEUTICS, INC.",1701108
"SPRINGWORKS THERAPEUTICS, INC.",1773427
"SPRINGWORKS THERAPEUTICS, LLC",1716049
STATION X INC.,1509408
STRATOS GENOMICS INC.,1501187
"STRIDEBIO, INC.",1708278
SUCAMPO PHARMACEUTICALS INC,1182197
"SUCAMPO PHARMACEUTICALS, INC.",1365216
SUNESIS PHARMACEUTICALS INC,1061027
SUNEVA MEDICAL INC.,1562974
"SURFACE ONCOLOGY, INC.",1718108
"SURROZEN, INC.",1814550
"SURROZEN, INC./DE",1824893
"SUTROVAX, INC.",1649094
"SYMIC BIOMEDICAL, INC.",1592597
SYNLOGIC OPERATING CO INC,1614170
"SYNLOGIC, LLC",1667986
SYNOVEX CORP,1369709
SYNTHETIC GENOMICS INC,1341812
"SYNTIMMUNE, INC.",1622964
SYRRX INC,1108983
"TANGO THERAPEUTICS, INC.",1819133
"TEARSOLUTIONS, INC.",1611687
"TELSAR PHARMA, INC.",1549817
TETRA DISCOVERY PARTNERS LLC,1581009
TETRALOGIC PHARMACEUTICALS CORP,1361248
"THERACLONE SCIENCES, INC.",1310967
THERAMED INC,1138748
"THERAVANCE BIOPHARMA ANTIBIOTICS, INC.",1646102
"THERAVANCE BIOPHARMA CAYMAN HOLDINGS, INC.",1645881
THERAVANCE BIOPHARMA IRELAND LTD,1645834
"THERAVANCE BIOPHARMA R&D, INC.",1645883
THERAVANCE BIOPHARMA UK LTD,1645844
"THERAVANCE BIOPHARMA US, INC.",1645884
"THERAVANCE BIOPHARMA, INC.",1583107
"THESAN PHARMACEUTICALS, INC.",1557975
"TILOS THERAPEUTICS, INC.",1678508
"TIOMA THERAPEUTICS, INC.",1630680
"TMUNITY THERAPEUTICS, INC.",1661702
TOKAI PHARMACEUTICALS INC,1404281
TOLERION INC,1173356
"TOLERION, INC.",1733538
"TOLERO PHARMACEUTICALS, INC.",1554907
TOLERRX INC,1131933
TOLERX INC,1417503
TORREYPINES THERAPEUTICS INC,1121429
"TORREYPINES THERAPEUTICS, INC.",1070698
TRANSFORM PHARMACEUTICALS INC,1104109
TRANZYME INC,1274644
TRELLIS BIOSCIENCE INC,1162015
TRIAD PHARMACEUTICALS INC,1318190
