SEC_companyname,CIK
"ODYSSEY THERAPEUTICS, INC.",1882782
OMEROS CORP,1285819
OMEROS CORPRATION,1368823
"ONCOBIOLOGICS, INC.",1649989
ONCOFACTOR CORP,1520541
"ONCOGENEX PHARMACEUTICALS, INC.",949858
ONCOGENEX TECHNOLOGIES INC,1266677
ONCOMED PHARMACEUTICALS INC,1302573
"ONCOMYX THERAPEUTICS, INC.",1779436
ONCONOVA THERAPEUTICS INC,1130598
ONCORESPONSE INC,1655774
"ONCORUS, INC.",1671818
"ONL THERAPEUTICS, INC.",1611793
ONYX PHARMACEUTICALS INC,1012140
OPTHERION INC,1396827
OPTIMER PHARMACEUTICALS INC,1142576
"ORIC PHARMACEUTICALS, INC.",1796280
"ORPHOMED, INC.",1650809
OSPREY PHARMACEUTICALS USA INC,1436994
"OUTPOST MEDICINE, LLC",1670469
PALKION INC,1429487
PALLEON PHARMACEUTICALS INC.,1678852
"PANACEA LIFE SCIENCES HOLDINGS, INC.",1552189
"PANACEA LIFE SCIENCES, INC.",1796897
"PANACELA LABS, INC.",1526077
PANDION THERAPEUTICS HOLDCO LLC,1807901
PANOMICS INC,1166505
"PANOPTICA, INC.",1508856
PARASOL THERAPEUTICS INC,1426375
PARATEK PHARMACEUTICALS INC,1037643
"PARATEK PHARMACEUTICALS, INC.",1178711
PAXVAX INC,1402296
"PEPROMENE BIO, INC.",1742221
PEPTIMMUNE INC,1223040
PERLARA PBC,1607099
PERLEGEN SCIENCES INC,1138343
PERSONAL GENOME DIAGNOSTICS INC.,1530958
PETRA PHARMA CORP,1662118
PHARMAIN CORP,1608123
PHARMAIN LTD,1379316
PHARMASSET INC,1301081
PHASE BIOSCIENCES INC,1290195
PHASEBIO PHARMACEUTICALS INC,1169245
PHENOMIX CORP,1424342
PHENOMIX SCIENCES LLC,1757804
PHYTERA INC,917054
"PIERIS PHARMACEUTICALS, INC.",1583648
"PIONYR IMMUNOTHERAPEUTICS, INC.",1646618
"PLIANT THERAPEUTICS, INC.",1746473
"PORTAL INSTRUMENTS, INC.",1601163
"POSEIDA THERAPEUTICS, INC.",1661460
"POTENZA THERAPEUTICS, INC.",1627187
PRECISION BIOSCIENCES INC,1357874
PREDIX PHARMACEUTICALS HOLDINGS INC,1044487
"PRESAGE BIOSCIENCES, INC.",1485311
"PRESIDIO PHARMACEUTICALS, INC.",1467435
PREVAIL THERAPEUTICS INC.,1714798
PREXA PHARMACEUTICALS INC,1381209
PRINCIPIA BIOPHARMA INC.,1510487
PROACTA INC,1297823
"PROCLARA BIOSCIENCES, INC.",1423173
PROMEDIOR INC,1425549
PROTAGONIST THERAPEUTICS INC,1377121
PROTEON THERAPEUTICS INC,1359931
PROTEON THERAPEUTICS LLC,1262603
PROTEOSTASIS THERAPEUTICS INC,1445283
PROTEZ PHARMACEUTICALS INC,1330052
PS PHARMACEUTICALS INC,1165258
PTC THERAPEUTICS INC,1070081
PULMATRIX INC,1295524
"PULMATRIX, INC.",1574235
"PURIGEN BIOSYSTEMS, INC.",1574680
PUTNEY INC,1397602
Q THERAPEUTICS INC,1292191
"Q THERAPEUTICS, INC.",1366541
QUARK BIOTECH INC,920189
"QUENTIS THERAPEUTICS, INC.",1676135
QURALIS CORP,1811817
"RA PHARMACEUTICALS, INC.",1481512
"RADIUS HEALTH, INC.",1428522
RAINDANCE TECHNOLOGIES INC,1391950
"RANA THERAPEUTICS, INC.",1693415
"RANA THERAPEUTICS, LLC",1649138
"RANI THERAPEUTICS HOLDINGS, INC.",1856725
"RANI THERAPEUTICS, LLC",1644130
RAPID MICRO BIOSYSTEMS INC,1380106
RAVEN BIOTECHNOLOGIES INC,1081170
"REALBIO TECHNOLOGY, INC.",1471357
REATA DISCOVERY INC,1200783
REATA PHARMACEUTICALS INC,1358762
RECEPTOR BIOLOGIX INC,1292228
"RECEPTOS, INC.",1463729
RECODAGEN CORP,1430901
"REDPIN THERAPEUTICS, INC.",1735933
REDWOOD BIOSCIENCE INC,1432333
"REFLEXION MEDICAL, INC.",1604459
REGULUS THERAPEUTICS INC.,1505512
RELIANT PHARMACEUTICALS LLC,1121678
"RELIANT PHARMACEUTICALS, INC.",1290864
RELYPSA INC,1416792
