SEC_companyname,CIK
ARISAPH PHARMACEUTICALS INC,1270300
ARMAGEN TECHNOLOGIES INC,1562829
"ARMO BIOSCIENCES, INC.",1693664
ARQULE INC,1019695
ARQULE PARTNERS LP,1033298
"ARRAKIS THERAPEUTICS, INC.",1699493
"ARRIVO BIOVENTURES, LLC",1674649
ARTECEL SCIENCES INC,1128500
"ASET THERAPEUTICS, INC.",1701541
ASURAGEN INC,1358480
"ATARA BIOTHERAPEUTICS, INC.",1604464
ATHENAGEN INC,1374131
ATOX BIO INC.,1538682
"ATRECA, INC.",1532346
"ATTEROCOR, INC.",1547547
"AURA BIOSCIENCES, INC.",1501796
"AURASENSE THERAPEUTICS, LLC",1539169
AURORA BIOSCIENCES CORP,1010919
"AVAXIA BIOLOGICS, INC",1534899
AVEO PHARMACEUTICALS INC,1325879
AVERA PHARMACEUTICALS INC,1170738
"AVEXIS, INC.",1652923
AVID RADIOPHARMACEUTICALS INC,1347912
AVIDIA INC,1258775
AVIDITY BIOSCIENCES LLC,1599901
AVILA THERAPEUTICS INC,1433888
"AXIAL BIOTHERAPEUTICS, INC.",1691625
"AYALA PHARMACEUTICALS, INC.",1797336
"AZELON PHARMACEUTICALS, INC.",1286667
"BASE PAIR BIOTECHNOLOGIES, INC.",1710728
BAYHILL THERAPEUTICS INC,1290157
"BERKELEY LIGHTS, INC.",1689657
BIND BIOSCIENCES INC,1385228
"BIOATLA, INC.",1826892
"BIOATLA,LLC",1614452
BIODESY LLC,1452815
"BIOGENERICS, INC.",1512762
"BIOLEAP, INC.",1480519
BIOMICRO SYSTEMS INC,1221809
BIOMIMETIC PHARMACEUTICALS INC,1138400
"BIOMOTIV, LLC",1557499
"BIONANO GENOMICS, INC",1411690
"BIONIZ THERAPEUTICS, INC.",1662388
"BIONIZ, LLC",1586263
BIONUMERIK PHARMACEUTICALS INC,895131
BIORELIX INC,1373982
"BLADE THERAPEUTICS, INC.",1677379
BLUE HERON BIOTECHNOLOGY INC,1385065
"BOLT BIOTHERAPEUTICS, INC.",1641281
"BORAGEN, INC.",1700096
"C4 THERAPEUTICS, INC.",1662579
CABRELLIS PHARMACEUTICALS CORP,1373242
"CAELUM BIOSCIENCES, INC.",1714429
CALANDO PHARMACEUTICALS INC,1360648
CALCIMEDICA INC,1385359
"CALIMMUNE, INC.",1643405
CALIPER LIFE SCIENCES INC,1014672
CALISTOGA PHARMACEUTICALS INC,1385313
"CALISTOGA VENTURES, INC.",1687027
"CALORICS, INC.",1588059
CAMBRIA BIOSCIENCES LLC,1119913
"CAPIO BIOSCIENCES, INC.",1693238
CARDAX 2006 LLC,1453295
CARDAX 2007 LLC,1453310
CARDAX 2008 LLC,1453334
CARDAX 2008A LLC,1452501
"CARDAX PHARMA, INC.",1579166
CARDAX PHARMACEUTICALS INC,1408223
"CARDAX, INC.",1544238
"CARDURION PHARMACEUTICALS, INC.",1702453
"CARIBOU BIOSCIENCES, INC.",1619856
CARISMA THERAPEUTICS INC.,1708649
CATALYST BIOSCIENCES INC,1270381
"CATALYST BIOSCIENCES, INC.",1124105
CAVION TECHNOLOGIES INC,1081938
"CAVION, INC.",1348076
CELATOR PHARMACEUTICALS INC,1327467
"CELL DESIGN LABS, INC.",1663076
CELLADON CORP,1305253
CELLERANT THERAPEUTICS INC,1293600
CELULARITY INC,1752828
CELULARITY INC.,1716918
CEMPRA PHARMACEUTICALS INC,1352044
CENTAURUS PHARMACEUTICALS INC,1427733
"CENTURY THERAPEUTICS, INC.",1850119
CEQUENT PHARMACEUTICALS INC,1382090
CEREGENE INC,1300887
CERULEAN PHARMA INC.,1401914
CGI PHARMACEUTICALS INC,1379975
CHARLESTON LABORATORIES INC,1453665
CHEMCODES INC,1089378
CHEMOCENTRYX INC,1135796
"CHEMOCENTRYX, INC.",1340652
CHRONO THERAPEUTICS INC.,1601983
"CIRCLE PHARMA, INC.",1684286
"CIVI BIOPHARMA HOLDINGS, INC.",1740380
"CIVITAS THERAPEUTICS, INC.",1509697
"CLEAVE BIOSCIENCES, INC.",1682401
"CLEVELAND HEARTLAB, INC.",1528499
COBREK PHARMACEUTICALS INC,1436823
