SEC_companyname,CIK
23ANDME HOLDING CO.,1804591
23ANDME INC,1414053
4D MOLECULAR THERAPEUTICS INC,1650648
"AADI BIOSCIENCE, INC.",1422142
ABC PHARMA ACQUISITION CO,1613021
"ABEXXA BIOLOGICS, INC.",1684213
"ABIDE THERAPEUTICS, INC.",1535138
ABPRO CORP,1670356
"ABSCI, LLC",1672688
ACCELERON PHARMA INC,1280600
ACELLERX THERAPEUTICS INC,1448342
"ACETYLON PHARMACEUTICALS, INC.",1469566
ACHILLION PHARMACEUTICALS INC,1070336
ACT BIOTECH INC,1434913
ACTIVBIOTICS INC,1234620
"ACTYM THERAPEUTICS, INC.",1808722
ACUCELA INC,1400482
ACUCELA JAPAN KK,1669671
ACUGEN NEUROPEUTICS INC,1211727
"ACYLIN THERAPEUTICS, INC.",1506358
"ADAGIO THERAPEUTICS, INC.",1832038
ADAMAS PHARMACEUTICALS INC,1328143
ADAPTIVE BIOTECHNOLOGIES CORP,1478320
ADENOSINE THERAPEUTICS LLC,1159476
ADERIS PHARMACEUTICALS INC,1164722
"ADGERO BIOPHARMACEUTICALS HOLDINGS, INC.",1657598
ADHEREX TECHNOLOGIES INC,1211583
"ADHERON THERAPEUTICS, INC.",1649103
"ADICET BIO, INC.",1720580
ADOLOR CORP,1076167
ADURO BIOTECH,1435049
"ADVANCED INTEGRATIVE MEDICINE & SURGERY, INC.",1671505
ADVANCED MEDICINE INC,1080014
"ADVANCED PRECISION MEDICINE, INC.",1659686
"AEGLEA BIOTHERAPEUTICS HOLDINGS, LLC",1595365
"AEGLEA BIOTHERAPEUTICS, INC.",1636282
"AEOVIAN PHARMACEUTICALS, INC.",1710088
"AERPIO THERAPEUTICS, INC.",1538472
"AFFERENT PHARMACEUTICALS, INC.",1476010
AFFYMAX INC,1158223
AFRAXIS INC,1435673
"AGBIOME, LLC",1650424
AGIOS PHARMACEUTICALS INC,1439222
AGRIVIDA INC,1381230
AILERON THERAPEUTICS INC,1420565
AKARX INC,1364307
"AKEBIA THERAPEUTICS, INC.",1517022
"AKOUOS, INC.",1722271
ALDER BIOPHARMACEUTICALS INC,1423824
ALECTOR LLC,1653087
ALGORX PHARMACEUTICALS INC,1227953
"ALIGOS THERAPEUTICS, INC.",1799448
ALIOS BIOPHARMA INC,1380990
"ALIVA BIOPHARMACEUTICALS, LLC",1480832
"ALKAHEST, INC.",1615386
ALLAKOS INC.,1564824
"ALLEGRO OPHTHALMICS, LLC",1631466
"ALLOGENE THERAPEUTICS, INC.",1737287
"ALLOVIR, INC.",1754068
ALLOZYNE INC,1345630
"ALLY THERAPEUTICS, INC.",1785017
ALNYLAM PHARMACEUTICALS INC,1178670
"ALTAIR THERAPEUTICS, INC.",1476989
"ALTIMMUNE, INC.",1326190
ALVINE PHARMACEUTICALS INC,1374116
AMBIT BIOSCIENCES CORP,1131543
AMBRX BIOPHARMA INC.,1836056
AMBRX INC,1264647
"AMPHIVENA THERAPEUTICS, INC.",1582186
AMPHORA DISCOVERY CORP,1160601
"AMPLYX PHARMACEUTICALS, INC.",1648627
ANACOR PHARMACEUTICALS INC,1411158
ANADYS PHARMACEUTICALS INC,1128495
ANAMAX INC,1157316
ANAPHORE NC,1434117
"ANCHORTHERAPEUTICS, INC",1417010
"ANESIVA, INC.",1131517
ANGIOBLAST SYSTEMS INC,1313561
"ANNEXON, INC.",1528115
ANTHERA PHARMACEUTICALS INC,1316175
ANTIPODEAN PHARMACEUTICALS INC,1338302
"ANTIVA BIOSCIENCES, INC.",1563355
"ANTOLRX, INC.",1679154
"APOGEN BIOTECHNOLOGIES, INC.",1691479
APOPTOS INC,1427879
APPLIED GENETIC TECHNOLOGIES CORP,1273636
APTINYX INC.,1674365
AQUINOX PHARMACEUTICALS (USA) INC,1404644
AQUINOX PHARMACEUTICALS INC,1404645
"ARAVIVE BIOLOGICS, INC.",1710436
"ARAVIVE, INC.",1513818
"ARCELLX, INC.",1786205
ARCHEMIX CORP,1143527
"ARCUS BIOSCIENCES, INC.",1724521
"ARDELYX, INC.",1437402
ARGOLYN BIOSCIENCE INC,1297033
ARGOS THERAPEUTICS INC,1105533
"ARIDIS PHARMACEUTICALS, INC.",1614067
